rt_name,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase
A.platensis-Cas1-RT,0.2775,-0.2616873286673748,-2.2426819417420445,0.2050359712230215,0.0683453237410072,2352.1,117.61,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.938,0.7883,0.281,0.7081,0.6936,0.6689,0.8251,0.5711,0.938,0.8278
AFY36037.1-RT,1.163689,-0.0348964812690175,-2.671303083789491,0.1283185840707964,0.1283185840707964,2595.36,129.77,30.0,55.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7864,0.6863,0.161,0.7666,0.7653,0.6804,0.7227,0.5479,0.7864,0.7272
ASLV-RT,-0.76549,-0.2689974793461915,-2.454570270016589,0.2115384615384615,0.0664335664335664,2937.61,146.88,40.0,60.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344,0.7796,0.309,0.9344,0.9311,0.8359,0.6563,0.7456,0.6675,0.5626
AVIRE-RT,0.532101,-0.005193333779992,-2.2931045774765533,0.1269841269841269,0.1399711399711399,2771.97,138.6,40.0,55.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9678,0.8516,0.603,0.9647,0.9678,0.9572,0.7711,0.7082,0.6582,0.5408
Abi-RT,1.231134,0.0853147888748678,-2.089162974138474,0.1142857142857142,0.1714285714285714,2437.99,121.9,35.0,40.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7568,0.5279,0.135,0.7047,0.6961,0.4734,0.7541,0.4228,0.7568,0.5732
BAEMV-RT,0.789726,-0.0061306279481462,-2.345839985068659,0.127721335268505,0.1233671988388969,2647.47,132.37,25.0,70.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.8752,0.741,0.9756,0.98,0.9673,0.7723,0.593,0.6577,0.5771
BLV-RT,-0.398653,-0.2320647646428694,-2.091797682716102,0.1763698630136986,0.0873287671232876,2597.38,129.87,40.0,50.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9063,0.7304,0.285,0.9031,0.9063,0.8455,0.6878,0.5691,0.6637,0.5709
Bel-RT,-0.431771,-0.226572609398387,-2.5303924830640523,0.1875,0.0905172413793103,2389.14,119.46,25.0,50.0,25.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8537,0.5443,0.098,0.8537,0.8393,0.8375,0.6579,0.4585,0.5673,0.5375
CHLRE,-1.68798,-0.5950542591477369,-2.702570858845654,0.3024523160762943,0.0272479564032697,2224.42,111.22,15.0,70.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8135,0.6196,0.125,0.6559,0.6621,0.5051,0.7484,0.5746,0.8135,0.751
CRISPRRT2-RT,0.53376,-0.0977203090821292,-2.5110930768024557,0.1818181818181818,0.1128526645768025,2228.23,111.41,20.0,55.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9155,0.7941,0.248,0.6902,0.6958,0.5897,0.852,0.5512,0.9155,0.7676
CaMV-RT,0.498119,0.0255359634678044,-2.567582514309269,0.1524926686217008,0.1495601173020528,2911.44,145.57,45.0,55.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9014,0.7026,0.229,0.9014,0.8859,0.8711,0.7359,0.5774,0.6609,0.5473
DRG2-RT,0.981695,-0.0424270290097804,-2.20011292831625,0.1369047619047619,0.1071428571428571,2448.75,122.44,25.0,50.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9017,0.7327,0.18,0.6442,0.651,0.6326,0.7757,0.4873,0.9017,0.7475
Drg-RT,0.991933,0.0001630209862653,-1.796223566667306,0.1437308868501529,0.1651376146788991,2336.67,116.83,20.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9064,0.7469,0.163,0.6285,0.6344,0.5911,0.7793,0.4928,0.9064,0.7458
Ec48-RT,0.798993,0.0315387166245062,-2.437843689131926,0.1105651105651105,0.1154791154791154,2943.82,147.19,35.0,60.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.874,0.6618,0.159,0.6816,0.6685,0.7069,0.874,0.5034,0.782,0.606
